id,number of sources it appears,annotation count
2672,2,24
2673,2,7
2674,2,3
2682,2,9
2683,2,10
2684,2,8
2685,2,8
2688,3,6
2689,2,6
2690,2,3
2691,2,6
2694,2,27
2695,2,42
2696,2,13
2705,3,13
2706,2,10
2707,3,11
2708,2,32
2709,2,28
2710,1,4
2712,2,30
2713,2,34
2715,2,43
2716,2,4
2717,3,293
2718,3,103
2719,3,40
2720,2,22
2721,2,39
2722,2,5
2730,1,4
2735,1,5
2736,1,1
2743,2,42
2744,2,19
2745,1,2
2751,1,1
2754,2,10
2755,2,14
2757,1,1
2759,1,1
2761,1,1
2765,1,2
2767,1,1
2768,1,1
2770,1,1
2778,3,11
2781,3,70
2782,3,187
2783,3,122
2784,3,2250
2786,3,98
2788,3,123
2789,3,46
2940,3,14
2941,3,13
2942,3,31
2943,2,7
2950,2,247
2951,3,270
2953,2,17
2972,3,10
2973,3,38
3016,2,58
3017,3,672
3018,2,14
3024,1,1
1047,1,49
1580,1,31
2429,1,1
2889,1,124
2890,1,13
2891,1,10
2899,3,92
2952,1,23
2569,1,297
2570,1,5539
2571,1,37
2573,1,1405
2574,1,6
2575,1,493
2576,1,224
2577,1,107
2578,1,64
2579,1,125
2580,1,1962
2581,1,4230
2585,1,2
2586,1,396
2589,1,15
2591,2,50
2597,2,6
2599,5,17
2600,2,10
2607,3,8640
2608,3,23
2610,1,112
2791,1,18261
2792,1,6717
2592,2,2
1382,4,158
2165,1,29
1858,1,4272
368,1,17947
2845,1,2632
2847,2,135
2851,1,51
2856,1,4
2858,1,93
2862,1,1
2863,1,674
2864,1,3
2866,1,51
2867,1,448
2869,1,4
2877,1,30
2879,1,1302
2896,1,1
2904,1,8
2919,1,3
2925,1,1
2929,1,1
2930,1,11
2932,1,1
2933,1,935
2937,1,1
2939,1,1044
2978,1,6
2980,1,1
2994,1,62
3015,1,1409
3313,1,117
217,2,37
1539,1,12
2451,3,6492
2965,1,570
2966,1,502
2967,1,85
2968,1,41
2970,1,48
3020,1,34
3028,1,21
3059,1,3
2437,1,1410
2170,1,1
2082,1,17
3039,1,595
3040,1,18
3041,1,26
2620,1,12
2642,2,3
2643,2,32
2646,2,3
2648,2,189
2664,1,6
2665,1,8
2667,1,1
2669,1,2
2675,1,1
2676,1,2
2677,1,1
2678,1,1
2699,1,13
2700,1,1
2714,1,15
2724,1,11
2725,1,2
2726,1,2
2750,1,1
2753,1,1
2773,1,1
2944,1,1
2945,1,1
3023,1,1
3025,1,1
3029,2,894
3030,1,10
3031,1,5
3032,1,50
3033,1,1
3034,2,33
3035,2,12
3253,1,36
2632,1,2
2633,1,5
2647,1,91
2650,1,4077
2657,1,56
2763,1,1
2764,1,1
2766,1,1
1801,1,944
2826,1,691
3080,1,13275
3081,1,569
3082,1,15
3377,1,64
3378,1,173
289,1,18
291,1,133
2470,1,72
4203,1,36
3087,1,5735
3092,1,4
3093,1,1217
3094,1,1011
3095,1,38
3098,1,208
3099,1,818
3101,1,512
3102,1,780
3103,1,1544
3104,1,121
3105,1,155
3107,1,768
3108,1,177
3109,1,3662
3110,1,16
3111,1,153
3112,1,97
3113,1,5
3114,1,105
3116,1,1982
3117,1,384
3118,2,24
3119,1,16
3120,1,191
3121,1,479
3122,1,32642
3085,1,1678
3296,1,44
3299,1,5237
3300,1,74
3301,1,328
3302,1,2870
3303,1,99
3304,1,77
3305,1,566
3306,1,23
3192,1,285
3194,1,394
3195,1,4940
3196,1,40
3197,1,830
3200,1,28
3204,1,19257
3205,1,129
3088,1,55
2207,2,1109
1150,1,9
3129,1,111
3131,1,357
3133,1,236
3134,1,14
3135,1,3223
3136,1,4
3137,1,25
3138,1,17
3139,1,753
3141,1,546
3143,1,88
3150,1,187
3151,1,300
3152,1,238
3153,1,19
3154,1,164
3155,1,151
3156,1,4638
3157,1,1073
3158,1,271
3159,1,62
3160,1,28
3161,1,27
3162,1,232
3163,1,330
3164,1,260
3165,1,38
3179,1,66
3180,1,29
3254,1,110
195,1,102
198,1,3
210,1,9
215,1,6
219,1,255
269,1,29
339,1,13
2567,1,282
2829,1,17
