id,number of sources it appears,annotation count
458,2,7130
459,4,793
462,5,383
556,3,16115
565,2,438
696,3,4910
697,2,1248
794,2,90
795,5,2383
817,4,305
871,3,1027
1190,1,255
1191,4,3019
1258,3,813
58,22,1012
59,45,58302
60,25,11677
61,27,18187
62,41,16364
68,27,17004
70,43,104108
71,18,1375
72,35,21962
73,48,221968
75,30,2500
99,19,8872
115,27,8932
116,31,24045
117,20,15505
130,20,1747
150,11,9850
164,15,1506
185,16,6815
190,20,1396
194,11,757
196,5,36
199,27,3582
201,11,2157
554,20,7045
608,8,54
610,3,1675
623,12,2202
760,17,2457
2037,6,4219
3007,1,94634
3010,1,1714
3366,1,409
88,22,69451
134,9,1965
204,18,54143
243,5,113
461,19,15238
637,13,1205
2513,2,24026
3437,1,394
3438,4,1166099
3440,1,1054
3453,1,20357
3455,1,136
119,32,7135
142,12,1842
420,6,36
431,5,1634
446,19,9661
453,3,14
515,57,264129
1034,14,392
1791,11,958
1823,6,15
1824,9,169
1852,18,70114
1869,12,1371
1980,10,2404
2025,6,77
2186,3,489
2417,12,872
2423,6,3543
2425,13,2387
3324,3,53
3382,3,153
3383,3,105
3398,3,21
3399,2,24
3400,1,5
3401,2,2
3402,5,12
3411,3,15
427,5,3468
2859,2,24
1438,4,27478
1443,6,1626
1445,3,7
1446,8,655
1598,3,127
1599,3,41
1650,7,3014
1654,6,765
1703,6,3476
1754,3,392
184,30,131842
1030,13,76
1854,12,9649
2033,5,157
2072,5,2688
2073,4,106
3409,1,2
1035,7,487
2013,11,1032
2415,9,179
97,6,165
146,11,4427
466,4,221
467,7,11479
469,5,81
470,1,15
472,5,298
473,7,17874
475,4,191
476,3,57
477,2,5
478,1,35
479,1,25
480,5,538
481,6,513
482,7,184
483,6,8936
484,6,3226
485,5,2335
488,5,239
489,3,433
490,3,20
491,5,80
492,2,222
493,2,74
494,2,33
495,4,248
496,6,946
497,4,701
499,2,22
501,5,4519
502,5,1868
504,8,14961
505,7,7075
506,6,1379
507,1,15
509,3,941
510,3,63
513,2,25
514,6,3774
516,6,134057
517,5,1715
518,4,47
519,10,2697
520,5,2826
521,10,2285
522,9,99869
524,18,236131
525,4,1696
527,17,4577
529,5,652
533,8,12794
534,2,39
535,3,243
537,3,11
539,2,63
540,1,22
541,5,519
542,6,571
543,10,3184
545,4,80
546,4,93
547,1,15
550,4,47
551,4,1407
552,3,245
553,2,3
557,5,2474
807,1,88
808,1,710
819,1,11
966,2,3
973,3,734
975,1,85
986,3,20
987,1,2
1042,1,47
1043,3,313
1044,1,19
1052,1,8
1106,1,2
1122,2,179
1172,1,5
1807,6,617
1865,5,567
2075,1,3
3405,1,1
3407,1,3
3408,1,2
3410,1,3
139,12,19384
498,4,81
993,3,93
1183,8,566
1188,5,1971
1359,6,204
1360,8,439
1365,5,22
1366,5,23
1368,13,12074
1369,12,20488
1370,11,34796
1374,8,95451
1376,8,414
1380,4,1248
1381,5,1473
1383,4,833
1385,4,260
1800,2,573
1802,10,17603
1855,3,535
2102,5,4549
2167,3,741
2450,3,1645
2453,7,17732
2455,3,1870
2539,7,8529
2562,6,1982
2644,7,101386
2653,5,36
2964,4,466
3014,3,524
1293,8,4254
1297,5,62
1298,4,192
1301,5,54
1316,5,1281
1321,9,1498
1324,7,535
1326,4,20
1334,5,13
1335,8,1882
1344,5,1219
1355,8,919
1974,9,13607
3509,1,17
3510,1,164
625,3,161407
1863,2,3
2100,10,21607
3210,3,417
76,6,184
136,3,583
151,10,7215
187,24,17407
192,16,836
206,3,219
216,11,5920
370,8,18978
774,7,5240
778,2,16
793,3,144799
968,4,4862
971,3,332
972,6,2699
1585,2,173
1762,2,213
1763,2,260
1764,8,2565
2032,2,910
2035,3,425
2036,3,304
2038,3,108
2039,4,109
2043,2,59
2060,2,687
2061,2,379
2078,2,18
2079,2,61
2080,2,3
2081,4,128
2136,2,22
212,9,7914
1861,2,11
2469,2,12282
2490,6,370
3525,1,32
331,4,36
600,4,1706
988,10,3046
1447,3,50
1561,3,27722
1564,3,192
1583,3,346
1586,2,38838
1857,2,337
2064,1,188
2362,1,518
2454,8,18913
3100,2,444
3106,2,9614
3515,1,303
3516,1,1188
3517,1,66
3518,2,189
3519,1,134
3521,1,23
3522,2,515
98,5,2263
436,3,90
437,4,1536
1128,7,25906
1164,3,79
1867,1,1
1915,3,708
1918,3,20
1924,12,5046
1933,2,82
1979,7,16823
1981,3,26
2012,3,6
2077,2,22
2127,1,2
2219,3,334
2220,1,275
2230,11,11223
2538,5,238
2785,4,808
2800,2,25
3208,5,1936
267,2,17
197,4,6
1187,11,38303
1364,5,2343
1378,7,386
1743,6,1013
1772,8,2743
1788,9,2217
2659,6,4848
80,44,106197
91,22,77529
2134,6,3458
137,7,8426
189,13,1025
350,1,5
983,5,9850
1610,5,34
1996,3,613
2446,2,57013
2779,4,941
2143,2,242
3267,1,10
3330,1,1
3482,1,8
3563,3,2829
3565,1,12
3566,1,13
3567,1,25
3568,1,8
3569,1,1
3573,1,1
3574,1,7
3575,1,97
3576,1,92
3578,1,6
3587,1,8922
3588,1,2865
3591,1,380
3558,1,6
92,18,107906
153,2,507
238,9,583
274,3,488
288,2,19
373,1,206
586,2,220
592,3,95775
593,2,9
594,4,25
595,8,11485
596,2,406
2541,5,147
3215,1,7256
3248,1,1654
3250,1,15
3251,1,521
3259,1,1069
3535,1,33227
3581,3,81
3582,1,260
3585,2,319
3586,1,191
237,13,114920
281,8,240
599,1,634
601,3,50
603,3,1108
606,4,686
607,4,31
613,2,26
614,4,103
615,2,140
616,2,22
617,1,1
621,4,3543
224,3,39
777,6,1685
791,4,6077
2057,3,249
2235,3,6746
2485,6,986
2495,5,330
2496,6,537
2843,4,6135
132,7,7493
605,5,315
1604,2,859
266,3,901
360,5,1205
1004,5,19585
1012,4,2191
1056,2,54
1840,2,772
1914,3,2551
2164,7,14468
3212,1,24
3484,3,6240
3649,1,3986
3650,1,10
3654,1,1272
3656,1,598
3657,1,1105
3658,1,514
3665,1,46
3666,1,370
3667,1,1
3672,1,9
3677,1,467
3686,2,205
3688,1,28
3689,1,80
3690,1,127
3693,1,15
3695,1,6
3698,1,1934
3700,1,54
3703,1,49
3704,1,453
3705,1,70
3706,1,21
3707,1,306
3708,1,9
3709,1,8
3714,1,10128
3715,1,1
3546,1,6606
3547,1,733
3548,1,196
2022,3,21
3209,4,2350
3630,1,201
3631,1,134
3632,1,163
3633,1,188
3634,1,650
108,3,732
597,5,1820
1138,6,410
3097,2,760
3295,3,618
3638,1,548
3639,1,47
3640,1,17
3641,2,5465
3645,2,4756
3716,1,1
1871,9,221571
1872,5,701
1877,9,10841
1878,7,13471
1883,8,18428
1884,5,2906
1886,10,89084
1887,11,67962
1888,9,363
1889,10,13329
1895,11,29611
1896,7,1972
1898,7,3390
1899,9,63325
1901,5,207
1903,10,61172
1905,8,22356
1906,8,16819
3643,1,823
3644,1,1182
83,6,488098
234,2,180
236,5,3445
242,9,32754
294,2,217
