id,number of sources it appears,annotation count
655,2,4428
146,11,4427
1769,6,4427
456,16,4420
771,2,4387
452,5,4366
1425,21,4364
2154,2,4364
636,4,4342
2547,1,4324
3123,2,4323
1597,23,4316
2649,3,4312
1908,4,4311
1858,1,4272
1329,10,4258
1293,8,4254
1027,2,4240
2581,1,4230
2037,6,4219
1612,3,4196
1503,1,4136
1601,16,4091
2650,1,4077
587,1,4073
100,10,4064
3649,1,3986
633,3,3984
2558,1,3953
460,60,3917
775,2,3887
727,2,3855
1436,25,3848
409,3,3810
2596,4,3782
514,6,3774
1781,6,3773
324,7,3759
1848,3,3739
764,2,3728
1591,9,3711
1602,23,3707
425,5,3689
994,2,3685
1145,12,3668
1636,5,3666
3109,1,3662
722,2,3655
221,10,3654
4109,1,3654
784,2,3638
3881,1,3610
342,29,3594
325,10,3594
199,27,3582
2423,6,3543
621,4,3543
1798,4,3537
1719,1,3522
4120,1,3512
1008,1,3479
1703,6,3476
427,5,3468
2134,6,3458
236,5,3445
772,2,3414
715,2,3399
1898,7,3390
109,6,3379
2185,10,3367
712,2,3344
1488,8,3329
1040,6,3310
1839,2,3287
3241,3,3268
484,6,3226
3135,1,3223
1176,5,3205
804,19,3198
543,10,3184
2117,2,3141
2590,13,3133
660,2,3098
1350,14,3091
796,2,3080
770,2,3076
1648,19,3062
626,1,3061
1127,4,3059
1454,26,3048
988,10,3046
1191,4,3019
1650,7,3014
648,5,2937
1623,1,2925
2651,4,2923
2122,1,2922
1884,5,2906
1424,26,2897
3933,2,2887
792,7,2885
2452,1,2884
3302,1,2870
1738,3,2867
3588,1,2865
757,1,2831
3563,3,2829
1909,2,2828
1795,6,2827
520,5,2826
585,2,2826
1323,11,2814
2119,3,2810
1300,10,2784
1437,30,2767
1635,2,2764
3445,1,2759
4110,1,2752
3874,1,2749
1772,8,2743
1440,14,2730
972,6,2699
343,2,2699
519,10,2697
2072,5,2688
4115,1,2673
2619,4,2639
3490,1,2638
2845,1,2632
1706,2,2594
1630,1,2592
2140,1,2589
3603,1,2587
1764,8,2565
2630,4,2558
1914,3,2551
2818,1,2542
75,30,2500
2472,3,2494
2532,2,2490
557,5,2474
628,4,2474
2209,3,2466
2050,6,2458
760,17,2457
1980,10,2404
314,3,2401
2425,13,2387
795,5,2383
2559,1,2376
590,1,2373
3209,4,2350
1364,5,2343
485,5,2335
220,9,2310
766,2,2306
3924,1,2300
301,2,2296
521,10,2285
98,5,2263
2784,3,2250
1064,3,2242
1788,9,2217
378,4,2212
69,22,2207
623,12,2202
1012,4,2191
1768,4,2175
3615,1,2159
201,11,2157
439,26,2143
441,25,2130
1570,2,2120
1161,3,2102
919,1,2087
1296,5,2076
1605,20,2068
2963,2,2062
1880,3,2055
1994,2,2040
1467,3,2033
776,2,2002
1422,2,1995
2562,6,1982
3116,1,1982
1896,7,1972
1188,5,1971
773,2,1969
134,9,1965
2580,1,1962
1649,17,1959
227,29,1951
2139,2,1942
3208,5,1936
3698,1,1934
1711,3,1934
1560,3,1929
1456,14,1921
1912,2,1920
1500,1,1902
1335,8,1882
2455,3,1870
502,5,1868
1462,2,1863
142,12,1842
451,10,1837
2557,1,1834
597,5,1820
3932,3,1813
1757,1,1781
2628,4,1753
130,20,1747
1124,3,1746
400,4,1735
517,5,1715
3010,1,1714
1536,1,1709
1571,7,1708
600,4,1706
525,4,1696
2141,1,1688
777,6,1685
3085,1,1678
610,3,1675
3248,1,1654
2450,3,1645
431,5,1634
2881,1,1630
1443,6,1626
692,2,1624
2537,2,1614
3380,1,1594
1299,9,1591
1794,1,1581
1690,1,1574
3486,1,1566
1051,1,1564
1783,3,1557
3103,1,1544
437,4,1536
3536,1,1536
309,3,1534
569,3,1529
2371,3,1527
447,3,1517
164,15,1506
1321,9,1498
981,5,1497
1381,5,1473
3511,1,1469
1894,8,1463
208,4,1437
2095,2,1436
357,2,1420
2437,1,1410
3015,1,1409
551,4,1407
2573,1,1405
376,6,1402
2594,8,1396
190,20,1396
1926,2,1394
2217,10,1384
506,6,1379
71,18,1375
1869,12,1371
1907,2,1363
1696,1,1356
1471,4,1313
430,3,1304
457,2,1303
2879,1,1302
3384,1,1288
1316,5,1281
3654,1,1272
1384,5,1258
2092,19,1251
1874,5,1251
697,2,1248
1380,4,1248
2572,3,1243
388,3,1243
1330,9,1241
1555,2,1228
1879,3,1222
1344,5,1219
3093,1,1217
573,1,1206
1256,3,1206
637,13,1205
360,5,1205
415,2,1200
2232,1,1200
2447,3,1197
2118,2,1197
3516,1,1188
387,7,1184
3644,1,1182
1119,5,1180
720,1,1179
3243,5,1169
1632,1,1158
2844,1,1130
2207,2,1109
603,3,1108
1936,2,1106
711,1,1106
3657,1,1105
2840,1,1089
2084,3,1087
218,9,1080
338,2,1074
3157,1,1073
3259,1,1069
2533,1,1068
708,2,1068
2124,2,1057
3440,1,1054
3799,1,1051
2939,1,1044
1267,8,1043
3246,5,1038
2013,11,1032
871,3,1027
189,13,1025
1419,2,1016
2435,1,1014
1743,6,1013
412,2,1012
58,22,1012
3094,1,1011
3620,1,1007
413,2,1007
2960,1,1005
2618,3,997
2545,2,995
280,1,995
3593,1,992
1868,10,989
2026,2,987
638,8,986
2485,6,986
1420,2,977
1722,3,968
1126,1,965
235,3,963
2550,1,960
1791,11,958
1667,1,956
3858,1,955
3617,1,946
496,6,946
1801,1,944
509,3,941
2779,4,941
956,15,936
923,2,935
2551,1,935
2933,1,935
2631,3,927
349,1,920
3395,1,919
411,2,919
1355,8,919
3871,1,914
104,7,912
2032,2,910
980,5,905
3091,1,902
266,3,901
2842,1,900
90,4,895
3029,2,894
1470,1,889
3443,1,888
577,3,887
1163,6,879
765,2,877
2417,12,872
380,4,864
1604,2,859
3292,1,856
1851,1,850
203,3,847
1131,1,841
192,16,836
1383,4,833
3902,1,832
1501,1,830
3197,1,830
3643,1,823
3884,1,821
3099,1,818
1828,14,815
2656,4,813
1258,3,813
1563,3,812
77,11,811
2785,4,808
255,1,805
2155,2,800
1589,1,799
459,4,793
1444,7,784
1404,2,783
2157,2,783
3102,1,780
756,1,775
1840,2,772
1178,8,771
3107,1,768
1654,6,765
511,7,764
3097,2,760
194,11,757
2471,1,756
465,9,754
3139,1,753
1497,3,751
361,8,750
580,2,749
1997,1,748
691,2,742
2167,3,741
649,2,738
973,3,734
3547,1,733
108,3,732
313,1,726
738,4,718
2882,1,712
808,1,710
1915,3,708
3487,1,702
497,4,701
1872,5,701
2826,1,691
